resultId,raceId,driverId,grid,statusId,error_catagory,circuitId,turns,race_laps,full_throttle_percentage,driver_error_rate,constructor_error_rate,circuit_error_rate,label
156,25,4,3,1,Finished,8,17,70,0.65,0.011538462,0.137096774,0.038461538,1
157,25,14,7,1,Finished,8,17,70,0.65,0.011111111,0.130612245,0.038461538,1
158,25,1,13,1,Finished,8,17,70,0.65,0.009615385,0.155893536,0.038461538,1
159,25,10,8,1,Finished,8,17,70,0.65,0.021505376,0.146226415,0.038461538,0
160,25,20,12,1,Finished,8,17,70,0.65,0.010050251,0.181415929,0.038461538,0
161,25,2,11,1,Finished,8,17,70,0.65,0.016949153,0.1,0.038461538,0
162,25,22,20,11,Finished,8,17,70,0.65,0.006896552,0.141509434,0.038461538,0
164,25,3,19,11,Finished,8,17,70,0.65,0.004854369,0.131428571,0.038461538,0
165,25,7,14,11,Finished,8,17,70,0.65,0.037037037,0.181415929,0.038461538,0
166,25,21,17,11,Finished,8,17,70,0.65,0.056074766,0.086614173,0.038461538,0
167,25,16,18,11,Finished,8,17,70,0.65,0.0234375,0.086614173,0.038461538,0
168,25,18,16,4,Track,8,17,70,0.65,0.020661157,0.141509434,0.038461538,0
169,26,1,4,1,Finished,9,18,52,0.7,0.009615385,0.155893536,0.066225166,1
170,26,2,5,1,Finished,9,18,52,0.7,0.016949153,0.1,0.066225166,1
171,26,22,16,1,Finished,9,18,52,0.7,0.006896552,0.141509434,0.066225166,1
172,26,8,3,11,Finished,9,18,52,0.7,0.00896861,0.072243346,0.066225166,1
173,26,5,1,11,Finished,9,18,52,0.7,0.017857143,0.155893536,0.066225166,1
174,26,4,6,11,Finished,9,18,52,0.7,0.011538462,0.137096774,0.066225166,1
175,26,15,14,11,Finished,9,18,52,0.7,0.013986014,0.146226415,0.066225166,1
177,26,3,20,11,Finished,9,18,52,0.7,0.004854369,0.131428571,0.066225166,1
178,26,17,2,11,Finished,9,18,52,0.7,0.010869565,0.130612245,0.066225166,1
179,26,7,13,11,Finished,9,18,52,0.7,0.037037037,0.181415929,0.066225166,0
180,26,10,12,11,Finished,9,18,52,0.7,0.021505376,0.146226415,0.066225166,0
181,26,13,9,12,Finished,9,18,52,0.7,0.019685039,0.072243346,0.066225166,0
182,26,9,10,20,Driver,9,18,52,0.7,0.026315789,0.1,0.066225166,0
183,26,18,17,20,Driver,9,18,52,0.7,0.020661157,0.141509434,0.066225166,0
184,26,12,7,20,Driver,9,18,52,0.7,0.107142857,0.137096774,0.066225166,0
185,26,21,19,20,Driver,9,18,52,0.7,0.056074766,0.086614173,0.066225166,0
186,26,16,18,20,Driver,9,18,52,0.7,0.0234375,0.086614173,0.066225166,0
187,26,20,8,4,Track,9,18,52,0.7,0.010050251,0.181415929,0.066225166,0
188,26,14,11,4,Track,9,18,52,0.7,0.011111111,0.130612245,0.066225166,0
189,27,1,1,1,Finished,10,17,67,0.535,0.009615385,0.155893536,0.034482759,1
190,27,12,17,1,Finished,10,17,67,0.535,0.107142857,0.137096774,0.034482759,1
191,27,13,2,1,Finished,10,17,67,0.535,0.019685039,0.072243346,0.034482759,1
192,27,2,12,1,Finished,10,17,67,0.535,0.016949153,0.1,0.034482759,1
193,27,5,3,1,Finished,10,17,67,0.535,0.017857143,0.155893536,0.034482759,1
194,27,8,6,1,Finished,10,17,67,0.535,0.00896861,0.072243346,0.034482759,1
195,27,9,7,1,Finished,10,17,67,0.535,0.026315789,0.1,0.034482759,1
196,27,20,9,1,Finished,10,17,67,0.535,0.010050251,0.181415929,0.034482759,1
197,27,15,4,1,Finished,10,17,67,0.535,0.013986014,0.146226415,0.034482759,1
198,27,3,13,1,Finished,10,17,67,0.535,0.004854369,0.131428571,0.034482759,1
199,27,4,5,1,Finished,10,17,67,0.535,0.011538462,0.137096774,0.034482759,0
200,27,7,15,1,Finished,10,17,67,0.535,0.037037037,0.181415929,0.034482759,0
201,27,14,10,1,Finished,10,17,67,0.535,0.011111111,0.130612245,0.034482759,0
203,27,16,19,1,Finished,10,17,67,0.535,0.0234375,0.086614173,0.034482759,0
204,27,21,20,1,Finished,10,17,67,0.535,0.056074766,0.086614173,0.034482759,0
205,27,18,14,11,Finished,10,17,67,0.535,0.020661157,0.141509434,0.034482759,0
206,27,22,18,4,Track,10,17,67,0.535,0.006896552,0.141509434,0.034482759,0
207,27,17,8,5,Constructor,10,17,67,0.535,0.010869565,0.130612245,0.034482759,0
208,27,10,11,22,Constructor,10,17,67,0.535,0.021505376,0.146226415,0.034482759,0
209,28,5,2,1,Finished,11,14,70,0.5,0.017857143,0.155893536,0.043046358,1
210,28,10,5,1,Finished,11,14,70,0.5,0.021505376,0.146226415,0.043046358,1
211,28,8,6,1,Finished,11,14,70,0.5,0.00896861,0.072243346,0.043046358,1
212,28,4,7,1,Finished,11,14,70,0.5,0.011538462,0.137096774,0.043046358,1
213,28,1,1,1,Finished,11,14,70,0.5,0.009615385,0.155893536,0.043046358,1
214,28,12,10,1,Finished,11,14,70,0.5,0.107142857,0.137096774,0.043046358,1
215,28,15,9,1,Finished,11,14,70,0.5,0.013986014,0.146226415,0.043046358,1
216,28,9,4,1,Finished,11,14,70,0.5,0.026315789,0.1,0.043046358,1
217,28,17,8,1,Finished,11,14,70,0.5,0.010869565,0.130612245,0.043046358,1
218,28,2,15,1,Finished,11,14,70,0.5,0.016949153,0.1,0.043046358,1
219,28,14,13,1,Finished,11,14,70,0.5,0.011111111,0.130612245,0.043046358,0
220,28,18,12,11,Finished,11,14,70,0.5,0.020661157,0.141509434,0.043046358,0
222,28,3,14,11,Finished,11,14,70,0.5,0.004854369,0.131428571,0.043046358,0
223,28,21,18,11,Finished,11,14,70,0.5,0.056074766,0.086614173,0.043046358,0
224,28,22,17,12,Finished,11,14,70,0.5,0.006896552,0.141509434,0.043046358,0
225,28,13,3,5,Constructor,11,14,70,0.5,0.019685039,0.072243346,0.043046358,0
226,28,7,19,13,Finished,11,14,70,0.5,0.037037037,0.181415929,0.043046358,0
227,28,16,20,23,Constructor,11,14,70,0.5,0.0234375,0.086614173,0.043046358,0
228,28,20,11,25,Constructor,11,14,70,0.5,0.010050251,0.181415929,0.043046358,0
229,29,13,1,1,Finished,12,25,57,0.63,0.019685039,0.072243346,0.0625,1
230,29,1,2,1,Finished,12,25,57,0.63,0.009615385,0.155893536,0.0625,1
231,29,9,3,1,Finished,12,25,57,0.63,0.026315789,0.1,0.0625,1
232,29,5,5,1,Finished,12,25,57,0.63,0.017857143,0.155893536,0.0625,1
233,29,15,7,1,Finished,12,25,57,0.63,0.013986014,0.146226415,0.0625,1
234,29,20,6,1,Finished,12,25,57,0.63,0.010050251,0.181415929,0.0625,1
235,29,10,13,1,Finished,12,25,57,0.63,0.021505376,0.146226415,0.0625,1
