,constructorId,constructorRef,Constructor_name,nationality,constructor_url,raceId,points,year,round,circuitId,grand_prix_name,date,race_url
10559,95,porsche,Porsche,German,http://en.wikipedia.org/wiki/Porsche_in_Formula_One,772,0.0,1958,8,20,German Grand Prix,1958-08-03,http://en.wikipedia.org/wiki/1958_German_Grand_Prix
10556,32,team_lotus,Team Lotus,British,http://en.wikipedia.org/wiki/Team_Lotus,772,0.0,1958,8,20,German Grand Prix,1958-08-03,http://en.wikipedia.org/wiki/1958_German_Grand_Prix
10561,118,vanwall,Vanwall,British,http://en.wikipedia.org/wiki/Vanwall,772,8.0,1958,8,20,German Grand Prix,1958-08-03,http://en.wikipedia.org/wiki/1958_German_Grand_Prix
10562,6,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari,771,8.0,1958,7,9,British Grand Prix,1958-07-19,http://en.wikipedia.org/wiki/1958_British_Grand_Prix
10563,32,team_lotus,Team Lotus,British,http://en.wikipedia.org/wiki/Team_Lotus,771,0.0,1958,7,9,British Grand Prix,1958-07-19,http://en.wikipedia.org/wiki/1958_British_Grand_Prix
10564,66,brm,BRM,British,http://en.wikipedia.org/wiki/BRM,771,2.0,1958,7,9,British Grand Prix,1958-07-19,http://en.wikipedia.org/wiki/1958_British_Grand_Prix
10565,87,cooper,Cooper,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,771,4.0,1958,7,9,British Grand Prix,1958-07-19,http://en.wikipedia.org/wiki/1958_British_Grand_Prix
10567,118,vanwall,Vanwall,British,http://en.wikipedia.org/wiki/Vanwall,771,3.0,1958,7,9,British Grand Prix,1958-07-19,http://en.wikipedia.org/wiki/1958_British_Grand_Prix
10568,125,connaught,Connaught,British,http://en.wikipedia.org/wiki/Connaught_Engineering,771,0.0,1958,7,9,British Grand Prix,1958-07-19,http://en.wikipedia.org/wiki/1958_British_Grand_Prix
10569,6,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari,770,8.0,1958,6,55,French Grand Prix,1958-07-06,http://en.wikipedia.org/wiki/1958_French_Grand_Prix
10570,32,team_lotus,Team Lotus,British,http://en.wikipedia.org/wiki/Team_Lotus,770,0.0,1958,6,55,French Grand Prix,1958-07-06,http://en.wikipedia.org/wiki/1958_French_Grand_Prix
10566,105,maserati,Maserati,Italian,http://en.wikipedia.org/wiki/Maserati,771,0.0,1958,7,9,British Grand Prix,1958-07-19,http://en.wikipedia.org/wiki/1958_British_Grand_Prix
10572,87,cooper,Cooper,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,770,0.0,1958,6,55,French Grand Prix,1958-07-06,http://en.wikipedia.org/wiki/1958_French_Grand_Prix
10552,87,cooper,Cooper,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,773,0.0,1958,9,59,Portuguese Grand Prix,1958-08-24,http://en.wikipedia.org/wiki/1958_Portuguese_Grand_Prix
10553,105,maserati,Maserati,Italian,http://en.wikipedia.org/wiki/Maserati,773,0.0,1958,9,59,Portuguese Grand Prix,1958-08-24,http://en.wikipedia.org/wiki/1958_Portuguese_Grand_Prix
10571,66,brm,BRM,British,http://en.wikipedia.org/wiki/BRM,770,0.0,1958,6,55,French Grand Prix,1958-07-06,http://en.wikipedia.org/wiki/1958_French_Grand_Prix
10555,6,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari,772,3.0,1958,8,20,German Grand Prix,1958-08-03,http://en.wikipedia.org/wiki/1958_German_Grand_Prix
10580,118,vanwall,Vanwall,British,http://en.wikipedia.org/wiki/Vanwall,769,8.0,1958,5,13,Belgian Grand Prix,1958-06-15,http://en.wikipedia.org/wiki/1958_Belgian_Grand_Prix
10579,105,maserati,Maserati,Italian,http://en.wikipedia.org/wiki/Maserati,769,0.0,1958,5,13,Belgian Grand Prix,1958-06-15,http://en.wikipedia.org/wiki/1958_Belgian_Grand_Prix
10554,118,vanwall,Vanwall,British,http://en.wikipedia.org/wiki/Vanwall,773,8.0,1958,9,59,Portuguese Grand Prix,1958-08-24,http://en.wikipedia.org/wiki/1958_Portuguese_Grand_Prix
10577,66,brm,BRM,British,http://en.wikipedia.org/wiki/BRM,769,2.0,1958,5,13,Belgian Grand Prix,1958-06-15,http://en.wikipedia.org/wiki/1958_Belgian_Grand_Prix
10576,32,team_lotus,Team Lotus,British,http://en.wikipedia.org/wiki/Team_Lotus,769,3.0,1958,5,13,Belgian Grand Prix,1958-06-15,http://en.wikipedia.org/wiki/1958_Belgian_Grand_Prix
10575,6,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari,769,6.0,1958,5,13,Belgian Grand Prix,1958-06-15,http://en.wikipedia.org/wiki/1958_Belgian_Grand_Prix
10574,118,vanwall,Vanwall,British,http://en.wikipedia.org/wiki/Vanwall,770,6.0,1958,6,55,French Grand Prix,1958-07-06,http://en.wikipedia.org/wiki/1958_French_Grand_Prix
10573,105,maserati,Maserati,Italian,http://en.wikipedia.org/wiki/Maserati,770,3.0,1958,6,55,French Grand Prix,1958-07-06,http://en.wikipedia.org/wiki/1958_French_Grand_Prix
10578,87,cooper,Cooper,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,769,0.0,1958,5,13,Belgian Grand Prix,1958-06-15,http://en.wikipedia.org/wiki/1958_Belgian_Grand_Prix
10586,6,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari,767,2.0,1958,3,39,Dutch Grand Prix,1958-05-26,http://en.wikipedia.org/wiki/1958_Dutch_Grand_Prix
10890,168,cooper-osca,Cooper-OSCA,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,764,0.0,1959,9,63,United States Grand Prix,1959-12-12,http://en.wikipedia.org/wiki/1959_United_States_Grand_Prix
10882,6,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari,764,4.0,1959,9,63,United States Grand Prix,1959-12-12,http://en.wikipedia.org/wiki/1959_United_States_Grand_Prix
10883,32,team_lotus,Team Lotus,British,http://en.wikipedia.org/wiki/Team_Lotus,764,2.0,1959,9,63,United States Grand Prix,1959-12-12,http://en.wikipedia.org/wiki/1959_United_States_Grand_Prix
10884,95,porsche,Porsche,German,http://en.wikipedia.org/wiki/Porsche_in_Formula_One,764,0.0,1959,9,63,United States Grand Prix,1959-12-12,http://en.wikipedia.org/wiki/1959_United_States_Grand_Prix
10885,105,maserati,Maserati,Italian,http://en.wikipedia.org/wiki/Maserati,764,0.0,1959,9,63,United States Grand Prix,1959-12-12,http://en.wikipedia.org/wiki/1959_United_States_Grand_Prix
10886,113,kurtis_kraft,Kurtis Kraft,American,http://en.wikipedia.org/wiki/Kurtis_Kraft,764,0.0,1959,9,63,United States Grand Prix,1959-12-12,http://en.wikipedia.org/wiki/1959_United_States_Grand_Prix
10887,124,tec-mec,Tec-Mec,Italian,http://en.wikipedia.org/wiki/Tec-Mec,764,0.0,1959,9,63,United States Grand Prix,1959-12-12,http://en.wikipedia.org/wiki/1959_United_States_Grand_Prix
10888,125,connaught,Connaught,British,http://en.wikipedia.org/wiki/Connaught_Engineering,764,0.0,1959,9,63,United States Grand Prix,1959-12-12,http://en.wikipedia.org/wiki/1959_United_States_Grand_Prix
10889,167,cooper-maserati,Cooper-Maserati,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,764,0.0,1959,9,63,United States Grand Prix,1959-12-12,http://en.wikipedia.org/wiki/1959_United_States_Grand_Prix
10585,170,cooper-climax,Cooper-Climax,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,761,3.0,1959,6,61,German Grand Prix,1959-08-02,http://en.wikipedia.org/wiki/1959_German_Grand_Prix
