year,name,driverRef,Medium,Soft,Super Soft,Ultra soft,Hard
2017,Azerbaijan Grand Prix,hulkenberg,1,4,8,0,0
2017,Azerbaijan Grand Prix,palmer,1,4,8,0,0
2017,Azerbaijan Grand Prix,wehrlein,1,3,9,0,0
2017,Azerbaijan Grand Prix,ericsson,2,3,8,0,0
2017,Canadian Grand Prix,hamilton,0,1,4,8,0
2017,Canadian Grand Prix,bottas,0,2,3,8,0
2017,Canadian Grand Prix,ricciardo,0,1,5,7,0
2017,Canadian Grand Prix,verstappen,0,1,5,7,0
2017,Canadian Grand Prix,vettel,0,1,3,9,0
2017,Canadian Grand Prix,raikkonen,0,1,3,9,0
2017,Canadian Grand Prix,perez,0,2,3,8,0
2017,Canadian Grand Prix,ocon,0,2,3,8,0
2017,Canadian Grand Prix,massa,0,2,4,7,0
2017,Canadian Grand Prix,stroll,0,1,5,7,0
2017,Canadian Grand Prix,alonso,0,1,2,10,0
2017,Canadian Grand Prix,vandoorne,0,2,1,10,0
2017,Canadian Grand Prix,sainz,0,2,3,8,0
2017,Canadian Grand Prix,kvyat,0,2,3,8,0
2017,Canadian Grand Prix,grosjean,0,1,5,7,0
2017,Canadian Grand Prix,magnussen,0,2,4,7,0
2017,Canadian Grand Prix,hulkenberg,0,2,4,7,0
2017,Canadian Grand Prix,palmer,0,2,4,7,0
2017,Canadian Grand Prix,wehrlein,0,3,3,7,0
2017,Canadian Grand Prix,ericsson,0,2,4,7,0
2017,Monaco Grand Prix,hamilton,0,1,3,9,0
2017,Monaco Grand Prix,bottas,0,1,3,9,0
2017,Monaco Grand Prix,ricciardo,0,1,1,11,0
2017,Monaco Grand Prix,verstappen,0,1,1,11,0
2017,Monaco Grand Prix,vettel,0,1,2,10,0
2017,Monaco Grand Prix,raikkonen,0,1,2,10,0
2017,Monaco Grand Prix,perez,0,1,2,10,0
2017,Monaco Grand Prix,ocon,0,1,2,10,0
2017,Monaco Grand Prix,massa,0,1,1,11,0
2017,Monaco Grand Prix,stroll,0,1,1,11,0
2017,Monaco Grand Prix,button,0,2,1,10,0
2017,Monaco Grand Prix,vandoorne,0,1,2,10,0
2017,Monaco Grand Prix,sainz,0,1,3,9,0
2017,Monaco Grand Prix,kvyat,0,1,3,9,0
2017,Monaco Grand Prix,grosjean,0,1,2,10,0
2017,Monaco Grand Prix,magnussen,0,1,2,10,0
2017,Monaco Grand Prix,hulkenberg,0,1,1,11,0
2017,Monaco Grand Prix,palmer,0,1,1,11,0
2017,Monaco Grand Prix,wehrlein,0,1,2,10,0
2017,Monaco Grand Prix,ericsson,0,1,2,10,0
2017,Spanish Grand Prix,hamilton,1,5,7,0,0
2017,Spanish Grand Prix,bottas,1,5,7,0,0
2017,Spanish Grand Prix,ricciardo,2,4,7,0,0
2017,Spanish Grand Prix,verstappen,2,4,7,0,0
2017,Spanish Grand Prix,vettel,1,4,8,0,0
2017,Spanish Grand Prix,raikkonen,1,4,8,0,0
2017,Spanish Grand Prix,perez,2,5,6,0,0
2017,Spanish Grand Prix,ocon,2,5,6,0,0
2017,Spanish Grand Prix,massa,1,5,7,0,0
2017,Spanish Grand Prix,stroll,1,5,7,0,0
2017,Spanish Grand Prix,alonso,1,5,7,0,0
2017,Spanish Grand Prix,vandoorne,1,5,7,0,0
2017,Spanish Grand Prix,sainz,1,5,6,0,0
2017,Spanish Grand Prix,kvyat,2,6,6,0,0
2017,Spanish Grand Prix,grosjean,2,3,8,0,0
2017,Spanish Grand Prix,magnussen,2,4,8,0,0
2017,Spanish Grand Prix,hulkenberg,2,5,6,0,0
2017,Spanish Grand Prix,palmer,1,5,7,0,0
2017,Spanish Grand Prix,wehrlein,2,5,6,0,0
2017,Spanish Grand Prix,ericsson,2,6,5,0,0
2017,Russian Grand Prix,hamilton,0,1,4,8,0
2017,Russian Grand Prix,bottas,0,1,3,9,0
2017,Russian Grand Prix,ricciardo,0,1,2,10,0
2017,Russian Grand Prix,verstappen,0,1,4,8,0
2017,Russian Grand Prix,vettel,0,1,6,6,0
2017,Russian Grand Prix,raikkonen,0,1,6,6,0
2017,Russian Grand Prix,perez,0,1,4,8,0
2017,Russian Grand Prix,ocon,0,1,4,8,0
