driverId,constructorId,year,circuitId,turns,lap_length,race_laps,race_distance,max_speed,drs_zone,full_throttle_percentage,longest_flatout_section,downforce_level,gear_changes_per_lap,prev_year_1_lap,prev_year_2_lap,prev_year_3_lap,prev_year_4_lap,fastestLapTime
5,1,2008,4,16,4.655,66,307.104,332,2,0.72,1310,3,45,86300,82400,80900,83400,86900
17,9,2008,4,16,4.655,66,307.104,332,2,0.72,1310,3,45,86300,82400,80900,83400,86900
15,7,2008,4,16,4.655,66,307.104,332,2,0.72,1310,3,45,86300,82400,80900,83400,86900
2,2,2008,4,16,4.655,66,307.104,332,2,0.72,1310,3,45,86300,82400,80900,83400,86900
12,4,2008,4,16,4.655,66,307.104,332,2,0.72,1310,3,45,86300,82400,80900,83400,86900
22,11,2008,4,16,4.655,66,307.104,332,2,0.72,1310,3,45,86300,82400,80900,83400,86900
6,3,2008,4,16,4.655,66,307.104,332,2,0.72,1310,3,45,86300,82400,80900,83400,86900
18,11,2008,4,16,4.655,66,307.104,332,2,0.72,1310,3,45,86300,82400,80900,83400,86900
10,7,2008,4,16,4.655,66,307.104,332,2,0.72,1310,3,45,86300,82400,80900,83400,86900
3,3,2008,4,16,4.655,66,307.104,332,2,0.72,1310,3,45,86300,82400,80900,83400,86900
7,5,2008,4,16,4.655,66,307.104,332,2,0.72,1310,3,45,86300,82400,80900,83400,86900
14,9,2008,4,16,4.655,66,307.104,332,2,0.72,1310,3,45,86300,82400,80900,83400,86900
20,5,2008,4,16,4.655,66,307.104,332,2,0.72,1310,3,45,86300,82400,80900,83400,86900
21,10,2008,4,16,4.655,66,307.104,332,2,0.72,1310,3,45,86300,82400,80900,83400,86900
16,10,2008,4,16,4.655,66,307.104,332,2,0.72,1310,3,45,86300,82400,80900,83400,86900
19,8,2008,4,16,4.655,66,307.104,332,2,0.72,1310,3,45,86300,82400,80900,83400,86900
11,8,2008,4,16,4.655,66,307.104,332,2,0.72,1310,3,45,86300,82400,80900,83400,86900
13,6,2008,6,19,3.337,78,260.286,290,1,0.34,669,3,47,79000,79100,82000,81900,102100
8,6,2008,6,19,3.337,78,260.286,290,1,0.34,669,3,47,79000,79100,82000,81900,102100
1,1,2008,6,19,3.337,78,260.286,290,1,0.34,669,3,47,79000,79100,82000,81900,102100
5,1,2008,6,19,3.337,78,260.286,290,1,0.34,669,3,47,79000,79100,82000,81900,102100
9,2,2008,6,19,3.337,78,260.286,290,1,0.34,669,3,47,79000,79100,82000,81900,102100
3,3,2008,6,19,3.337,78,260.286,290,1,0.34,669,3,47,79000,79100,82000,81900,102100
4,4,2008,6,19,3.337,78,260.286,290,1,0.34,669,3,47,79000,79100,82000,81900,102100
15,7,2008,6,19,3.337,78,260.286,290,1,0.34,669,3,47,79000,79100,82000,81900,102100
17,9,2008,6,19,3.337,78,260.286,290,1,0.34,669,3,47,79000,79100,82000,81900,102100
14,9,2008,6,19,3.337,78,260.286,290,1,0.34,669,3,47,79000,79100,82000,81900,102100
10,7,2008,6,19,3.337,78,260.286,290,1,0.34,669,3,47,79000,79100,82000,81900,102100
18,11,2008,6,19,3.337,78,260.286,290,1,0.34,669,3,47,79000,79100,82000,81900,102100
2,2,2008,6,19,3.337,78,260.286,290,1,0.34,669,3,47,79000,79100,82000,81900,102100
6,3,2008,6,19,3.337,78,260.286,290,1,0.34,669,3,47,79000,79100,82000,81900,102100
22,11,2008,6,19,3.337,78,260.286,290,1,0.34,669,3,47,79000,79100,82000,81900,102100
7,5,2008,6,19,3.337,78,260.286,290,1,0.34,669,3,47,79000,79100,82000,81900,102100
12,4,2008,6,19,3.337,78,260.286,290,1,0.34,669,3,47,79000,79100,82000,81900,102100
20,5,2008,6,19,3.337,78,260.286,290,1,0.34,669,3,47,79000,79100,82000,81900,102100
16,10,2008,6,19,3.337,78,260.286,290,1,0.34,669,3,47,79000,79100,82000,81900,102100
21,10,2008,6,19,3.337,78,260.286,290,1,0.34,669,3,47,79000,79100,82000,81900,102100
1,1,2008,7,14,4.361,70,305.27,315.5,2,0.76,1190,2,52,80100,127700,78700,78000,80700
9,2,2008,7,14,4.361,70,305.27,315.5,2,0.76,1190,2,52,80100,127700,78700,78000,80700
8,6,2008,7,14,4.361,70,305.27,315.5,2,0.76,1190,2,52,80100,127700,78700,78000,80700
4,4,2008,7,14,4.361,70,305.27,315.5,2,0.76,1190,2,52,80100,127700,78700,78000,80700
3,3,2008,7,14,4.361,70,305.27,315.5,2,0.76,1190,2,52,80100,127700,78700,78000,80700
13,6,2008,7,14,4.361,70,305.27,315.5,2,0.76,1190,2,52,80100,127700,78700,78000,80700
5,1,2008,7,14,4.361,70,305.27,315.5,2,0.76,1190,2,52,80100,127700,78700,78000,80700
2,2,2008,7,14,4.361,70,305.27,315.5,2,0.76,1190,2,52,80100,127700,78700,78000,80700
22,11,2008,7,14,4.361,70,305.27,315.5,2,0.76,1190,2,52,80100,127700,78700,78000,80700
17,9,2008,7,14,4.361,70,305.27,315.5,2,0.76,1190,2,52,80100,127700,78700,78000,80700
10,7,2008,7,14,4.361,70,305.27,315.5,2,0.76,1190,2,52,80100,127700,78700,78000,80700
6,3,2008,7,14,4.361,70,305.27,315.5,2,0.76,1190,2,52,80100,127700,78700,78000,80700
14,9,2008,7,14,4.361,70,305.27,315.5,2,0.76,1190,2,52,80100,127700,78700,78000,80700
15,7,2008,7,14,4.361,70,305.27,315.5,2,0.76,1190,2,52,80100,127700,78700,78000,80700
12,4,2008,7,14,4.361,70,305.27,315.5,2,0.76,1190,2,52,80100,127700,78700,78000,80700
7,5,2008,7,14,4.361,70,305.27,315.5,2,0.76,1190,2,52,80100,127700,78700,78000,80700
16,10,2008,7,14,4.361,70,305.27,315.5,2,0.76,1190,2,52,80100,127700,78700,78000,80700
21,10,2008,7,14,4.361,70,305.27,315.5,2,0.76,1190,2,52,80100,127700,78700,78000,80700
18,11,2008,7,14,4.361,70,305.27,315.5,2,0.76,1190,2,52,80100,127700,78700,78000,80700
8,6,2008,8,17,4.412,70,308.84,215.5,2,0.65,1000,2,45,79000,81700,81500,79700,80900
13,6,2008,8,17,4.412,70,308.84,215.5,2,0.65,1000,2,45,79000,81700,81500,79700,80900
1,1,2008,8,17,4.412,70,308.84,215.5,2,0.65,1000,2,45,79000,81700,81500,79700,80900
4,4,2008,8,17,4.412,70,308.84,215.5,2,0.65,1000,2,45,79000,81700,81500,79700,80900
15,7,2008,8,17,4.412,70,308.84,215.5,2,0.65,1000,2,45,79000,81700,81500,79700,80900
5,1,2008,8,17,4.412,70,308.84,215.5,2,0.65,1000,2,45,79000,81700,81500,79700,80900
9,2,2008,8,17,4.412,70,308.84,215.5,2,0.65,1000,2,45,79000,81700,81500,79700,80900
17,9,2008,8,17,4.412,70,308.84,215.5,2,0.65,1000,2,45,79000,81700,81500,79700,80900
14,9,2008,8,17,4.412,70,308.84,215.5,2,0.65,1000,2,45,79000,81700,81500,79700,80900
10,7,2008,8,17,4.412,70,308.84,215.5,2,0.65,1000,2,45,79000,81700,81500,79700,80900
12,4,2008,8,17,4.412,70,308.84,215.5,2,0.65,1000,2,45,79000,81700,81500,79700,80900
2,2,2008,8,17,4.412,70,308.84,215.5,2,0.65,1000,2,45,79000,81700,81500,79700,80900
20,5,2008,8,17,4.412,70,308.84,215.5,2,0.65,1000,2,45,79000,81700,81500,79700,80900
7,5,2008,8,17,4.412,70,308.84,215.5,2,0.65,1000,2,45,79000,81700,81500,79700,80900
3,3,2008,8,17,4.412,70,308.84,215.5,2,0.65,1000,2,45,79000,81700,81500,79700,80900
6,3,2008,8,17,4.412,70,308.84,215.5,2,0.65,1000,2,45,79000,81700,81500,79700,80900
18,11,2008,8,17,4.412,70,308.84,215.5,2,0.65,1000,2,45,79000,81700,81500,79700,80900
22,11,2008,8,17,4.412,70,308.84,215.5,2,0.65,1000,2,45,79000,81700,81500,79700,80900
21,10,2008,8,17,4.412,70,308.84,215.5,2,0.65,1000,2,45,79000,81700,81500,79700,80900
16,10,2008,8,17,4.412,70,308.84,215.5,2,0.65,1000,2,45,79000,81700,81500,79700,80900
5,1,2008,9,18,5.891,52,306.332,329.5,2,0.7,1034,3,40,85000,87200,86500,84300,98200
17,9,2008,9,18,5.891,52,306.332,329.5,2,0.7,1034,3,40,85000,87200,86500,84300,98200
8,6,2008,9,18,5.891,52,306.332,329.5,2,0.7,1034,3,40,85000,87200,86500,84300,98200
1,1,2008,9,18,5.891,52,306.332,329.5,2,0.7,1034,3,40,85000,87200,86500,84300,98200
2,2,2008,9,18,5.891,52,306.332,329.5,2,0.7,1034,3,40,85000,87200,86500,84300,98200
4,4,2008,9,18,5.891,52,306.332,329.5,2,0.7,1034,3,40,85000,87200,86500,84300,98200
12,4,2008,9,18,5.891,52,306.332,329.5,2,0.7,1034,3,40,85000,87200,86500,84300,98200
20,5,2008,9,18,5.891,52,306.332,329.5,2,0.7,1034,3,40,85000,87200,86500,84300,98200
13,6,2008,9,18,5.891,52,306.332,329.5,2,0.7,1034,3,40,85000,87200,86500,84300,98200
9,2,2008,9,18,5.891,52,306.332,329.5,2,0.7,1034,3,40,85000,87200,86500,84300,98200
14,9,2008,9,18,5.891,52,306.332,329.5,2,0.7,1034,3,40,85000,87200,86500,84300,98200
10,7,2008,9,18,5.891,52,306.332,329.5,2,0.7,1034,3,40,85000,87200,86500,84300,98200
7,5,2008,9,18,5.891,52,306.332,329.5,2,0.7,1034,3,40,85000,87200,86500,84300,98200
15,7,2008,9,18,5.891,52,306.332,329.5,2,0.7,1034,3,40,85000,87200,86500,84300,98200
6,3,2008,9,18,5.891,52,306.332,329.5,2,0.7,1034,3,40,85000,87200,86500,84300,98200
22,11,2008,9,18,5.891,52,306.332,329.5,2,0.7,1034,3,40,85000,87200,86500,84300,98200
18,11,2008,9,18,5.891,52,306.332,329.5,2,0.7,1034,3,40,85000,87200,86500,84300,98200
3,3,2008,9,18,5.891,52,306.332,329.5,2,0.7,1034,3,40,85000,87200,86500,84300,98200
16,10,2008,9,18,5.891,52,306.332,329.5,2,0.7,1034,3,40,85000,87200,86500,84300,98200
21,10,2008,9,18,5.891,52,306.332,329.5,2,0.7,1034,3,40,85000,87200,86500,84300,98200
1,1,2008,11,14,4.381,70,306.67,315,2,0.5,908,3,28,86700,99000,86000,84900,84200
5,1,2008,11,14,4.381,70,306.67,315,2,0.5,908,3,28,86700,99000,86000,84900,84200
13,6,2008,11,14,4.381,70,306.67,315,2,0.5,908,3,28,86700,99000,86000,84900,84200
9,2,2008,11,14,4.381,70,306.67,315,2,0.5,908,3,28,86700,99000,86000,84900,84200
10,7,2008,11,14,4.381,70,306.67,315,2,0.5,908,3,28,86700,99000,86000,84900,84200
8,6,2008,11,14,4.381,70,306.67,315,2,0.5,908,3,28,86700,99000,86000,84900,84200
4,4,2008,11,14,4.381,70,306.67,315,2,0.5,908,3,28,86700,99000,86000,84900,84200
17,9,2008,11,14,4.381,70,306.67,315,2,0.5,908,3,28,86700,99000,86000,84900,84200
15,7,2008,11,14,4.381,70,306.67,315,2,0.5,908,3,28,86700,99000,86000,84900,84200
12,4,2008,11,14,4.381,70,306.67,315,2,0.5,908,3,28,86700,99000,86000,84900,84200
20,5,2008,11,14,4.381,70,306.67,315,2,0.5,908,3,28,86700,99000,86000,84900,84200
18,11,2008,11,14,4.381,70,306.67,315,2,0.5,908,3,28,86700,99000,86000,84900,84200
14,9,2008,11,14,4.381,70,306.67,315,2,0.5,908,3,28,86700,99000,86000,84900,84200
7,5,2008,11,14,4.381,70,306.67,315,2,0.5,908,3,28,86700,99000,86000,84900,84200
3,3,2008,11,14,4.381,70,306.67,315,2,0.5,908,3,28,86700,99000,86000,84900,84200
2,2,2008,11,14,4.381,70,306.67,315,2,0.5,908,3,28,86700,99000,86000,84900,84200
6,3,2008,11,14,4.381,70,306.67,315,2,0.5,908,3,28,86700,99000,86000,84900,84200
22,11,2008,11,14,4.381,70,306.67,315,2,0.5,908,3,28,86700,99000,86000,84900,84200
21,10,2008,11,14,4.381,70,306.67,315,2,0.5,908,3,28,86700,99000,86000,84900,84200
16,10,2008,11,14,4.381,70,306.67,315,2,0.5,908,3,28,86700,99000,86000,84900,84200
20,5,2008,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,85500,86500,85200,86400,97300
5,1,2008,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,85500,86500,85200,86400,97300
17,9,2008,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,85500,86500,85200,86400,97300
7,5,2008,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,85500,86500,85200,86400,97300
3,3,2008,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,85500,86500,85200,86400,97300
13,6,2008,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,85500,86500,85200,86400,97300
15,7,2008,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,85500,86500,85200,86400,97300
4,4,2008,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,85500,86500,85200,86400,97300
10,7,2008,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,85500,86500,85200,86400,97300
2,2,2008,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,85500,86500,85200,86400,97300
9,2,2008,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,85500,86500,85200,86400,97300
21,10,2008,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,85500,86500,85200,86400,97300
14,9,2008,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,85500,86500,85200,86400,97300
8,6,2008,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,85500,86500,85200,86400,97300
1,1,2008,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,85500,86500,85200,86400,97300
22,11,2008,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,85500,86500,85200,86400,97300
12,4,2008,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,85500,86500,85200,86400,97300
6,3,2008,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,85500,86500,85200,86400,97300
18,11,2008,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,85500,86500,85200,86400,97300
16,10,2008,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,85500,86500,85200,86400,97300
1,1,2008,17,16,5.451,56,305.066,348,2,0.54,1397,3,51,111800,105400,97400,97600,159600
8,6,2008,17,16,5.451,56,305.066,348,2,0.54,1397,3,51,111800,105400,97400,97600,159600
13,6,2008,17,16,5.451,56,305.066,348,2,0.54,1397,3,51,111800,105400,97400,97600,159600
4,4,2008,17,16,5.451,56,305.066,348,2,0.54,1397,3,51,111800,105400,97400,97600,159600
5,1,2008,17,16,5.451,56,305.066,348,2,0.54,1397,3,51,111800,105400,97400,97600,159600
17,9,2008,17,16,5.451,56,305.066,348,2,0.54,1397,3,51,111800,105400,97400,97600,159600
2,2,2008,17,16,5.451,56,305.066,348,2,0.54,1397,3,51,111800,105400,97400,97600,159600
20,5,2008,17,16,5.451,56,305.066,348,2,0.54,1397,3,51,111800,105400,97400,97600,159600
15,7,2008,17,16,5.451,56,305.066,348,2,0.54,1397,3,51,111800,105400,97400,97600,159600
7,5,2008,17,16,5.451,56,305.066,348,2,0.54,1397,3,51,111800,105400,97400,97600,159600
12,4,2008,17,16,5.451,56,305.066,348,2,0.54,1397,3,51,111800,105400,97400,97600,159600
9,2,2008,17,16,5.451,56,305.066,348,2,0.54,1397,3,51,111800,105400,97400,97600,159600
10,7,2008,17,16,5.451,56,305.066,348,2,0.54,1397,3,51,111800,105400,97400,97600,159600
22,11,2008,17,16,5.451,56,305.066,348,2,0.54,1397,3,51,111800,105400,97400,97600,159600
