driverId,constructorId,circuitId,Medium_x,Soft_x,Super Soft_x,Ultra soft,Hard_x,grid,Super Soft_y,Soft_y,Medium_y,Hard_y,Ultra Soft,Recommended_pits,Wet,turns,race_laps,race_distance,full_throttle_percentage,longest_flatout_section,downforce_level,gear_changes_per_lap,clusters
8,6,11,1,3,9,0,0,14,1,1,1,0,0,3,0,14,70,306.67,0.5,908,3,28,3
822,3,11,1,5,7,0,0,10,1,1,1,0,0,3,0,14,70,306.67,0.5,908,3,28,1
13,3,11,1,5,7,0,0,18,1,1,1,0,0,3,0,14,70,306.67,0.5,908,3,28,2
817,9,11,1,5,7,0,0,3,1,1,1,0,0,3,0,14,70,306.67,0.5,908,3,28,1
826,5,11,1,5,7,0,0,12,1,1,1,0,0,3,0,14,70,306.67,0.5,908,3,28,3
815,10,11,2,4,7,0,0,13,1,1,1,0,0,3,0,14,70,306.67,0.5,908,3,28,4
4,1,11,1,5,7,0,0,7,1,1,1,0,0,3,0,14,70,306.67,0.5,908,3,28,1
18,1,11,1,5,7,0,0,8,1,1,1,0,0,3,0,14,70,306.67,0.5,908,3,28,4
828,15,11,1,4,8,0,0,22,1,1,1,0,0,3,0,14,70,306.67,0.5,908,3,28,3
836,209,11,1,5,7,0,0,20,1,1,1,0,0,3,0,14,70,306.67,0.5,908,3,28,1
837,209,11,1,5,7,0,0,21,1,1,1,0,0,3,0,14,70,306.67,0.5,908,3,28,2
154,210,11,1,4,8,0,0,11,1,1,1,0,0,3,0,14,70,306.67,0.5,908,3,28,1
1,131,11,1,3,9,0,0,4,1,1,1,0,0,3,0,14,70,306.67,0.5,908,3,28,1
20,6,11,1,3,9,0,0,1,1,1,1,0,0,3,0,14,70,306.67,0.5,908,3,28,1
