driverId,constructorId,circuitId,Did not finish,Podium,Pos 4 to 10,Accident / Collision,SC,Dry,Wet,pitStop timing (avg),pitStop timing prop(driver),grid,driver_error_rate,constructor_error_rate,circuit_error_rate,race_class
8,6,9,0.33,0,0.67,0.33,1,0.67,0,12214,0.049454086,5,0.00896861,0.072243346,0.066225166,2
8,6,11,0.33,0.33,0.33,0,0.67,0.67,0,21898.5,0.049454086,14,0.00896861,0.072243346,0.043046358,2
8,6,13,0.33,0,0.33,0,0.33,1,0,23235.33333,0.049454086,3,0.00896861,0.072243346,0.103571429,2
8,6,14,0,0,0.67,0,0,1,0,24584.33333,0.049454086,4,0.00896861,0.072243346,0.043046358,2
8,6,15,0,0.67,0.33,0,1,1,0,0,0.049454086,5,0.00896861,0.072243346,0.114678899,2
8,6,2,0,0,0.33,0,0.33,0.67,0,23600.66667,0.049454086,6,0.00896861,0.072243346,0.036184211,2
8,6,22,0,0,0.33,0,0.33,0.67,0.33,23547.33333,0.049454086,8,0.00896861,0.072243346,0.073359073,2
8,6,69,0.5,0,0,0,1,0.67,0,24226,0.049454086,5,0.00896861,0.072243346,0.047619048,0
8,6,32,1,0,0,1,1,1,0,0,0.049454086,6,0.00896861,0.072243346,0.048387097,2
8,6,18,0,0,0.5,0,0,1,0,26621,0.049454086,3,0.00896861,0.072243346,0.097643098,0
8,6,24,0.33,0.33,0,0.33,0,1,0,15939.66667,0.049454086,4,0.00896861,0.072243346,0.045918367,2
8,6,1,0.67,0,0.33,0,1,1,0,22115,0.05507723,4,0.00896861,0.072243346,0.126245847,2
8,6,17,0,0,0.67,0,0.67,1,0,22858.66667,0.05507723,4,0.00896861,0.072243346,0.046357616,2
8,6,3,0,0.67,0,0,0.33,1,0,24752.33333,0.05507723,5,0.00896861,0.072243346,0.028571429,2
8,6,71,0,0.33,0.67,0,0.67,1,0,0,0.05507723,2,0.00896861,0.072243346,0.108433735,1
8,6,4,0,0.33,0.67,0,0.33,1,0,22228.33333,0.05507723,4,0.00896861,0.072243346,0.069536424,0
8,6,6,0.33,0,0.33,0.33,1,0.67,0,12088.5,0.05507723,1,0.00896861,0.072243346,0.160535117,1
8,6,7,0,0,0.33,0,0.67,1,0,24020.66667,0.05507723,4,0.00896861,0.072243346,0.106382979,2
8,6,73,0,0,0,0,0,1,0,20593,0.05507723,3,0.00896861,0.072243346,0.024390244,0
8,6,70,0.33,0.33,0,0.33,0.67,1,0,13357.66667,0.05507723,3,0.00896861,0.072243346,0.023809524,2
8,6,9,0.33,0,0.67,0.33,1,0.33,0,0,0.05507723,2,0.00896861,0.072243346,0.066225166,1
8,6,11,0.33,0,0.67,0,0.67,0.67,0,22005.5,0.05507723,2,0.00896861,0.072243346,0.043046358,1
8,6,13,0,0,0.67,0,0.67,1,0,23006,0.05507723,4,0.00896861,0.072243346,0.103571429,2
8,6,14,0,0,0.67,0,0,1,0,24422.66667,0.05507723,5,0.00896861,0.072243346,0.043046358,2
8,6,15,0,0.33,0.33,0,1,1,0,28954,0.05507723,4,0.00896861,0.072243346,0.114678899,0
8,6,2,0,0,0,0,0.67,1,0,24569.33333,0.05507723,0,0.00896861,0.072243346,0.036184211,0
8,6,22,0,0,0.33,0,0.33,0.67,0.33,23371.33333,0.05507723,10,0.00896861,0.072243346,0.073359073,2
8,6,69,0.67,0,0,0,0.67,0.67,0,24805,0.05507723,5,0.00896861,0.072243346,0.047619048,1
8,6,32,0.5,0,0.5,0.5,1,1,0,11487,0.05507723,5,0.00896861,0.072243346,0.048387097,1
8,6,18,0.33,0,0.33,0.33,0.33,0.67,0.33,17747.33333,0.05507723,3,0.00896861,0.072243346,0.097643098,1
8,6,24,0,0.33,0.33,0,0,1,0,23302,0.05507723,5,0.00896861,0.072243346,0.045918367,2
822,3,1,0.33,0,0.33,0,0.67,1,0,15725.66667,0.059555327,16,0.010204082,0.131428571,0.126245847,2
822,3,3,0,0,0.33,0,0.33,1,0,24813.33333,0.059555327,6,0.010204082,0.131428571,0.028571429,2
822,3,17,0,0,0.67,0,0.33,1,0,22903.66667,0.059555327,5,0.010204082,0.131428571,0.046357616,2
822,3,71,0,0.5,0,0.5,0.5,1,0,0,0.059555327,2,0.010204082,0.131428571,0.108433735,2
822,3,4,0,0,0.33,0,0,1,0,21469.66667,0.059555327,7,0.010204082,0.131428571,0.069536424,2
822,3,6,0.33,0,0,0,1,1,0,26356.66667,0.059555327,10,0.010204082,0.131428571,0.160535117,3
822,3,7,0,0.33,0.33,0,0.33,1,0,24816.66667,0.059555327,7,0.010204082,0.131428571,0.106382979,1
